empEID,empID,snapDate,firstName,lastName,mgrEID,mgrID,costCenter,costCenterName,divisionName
BZJ139,492977,9/13/2016,NULL,NULL,QIE229,309871,21262,"Manual Collections Tulsa 3","Auto Finance"
CDT595,353137,9/13/2016,NULL,NULL,EXT403,178473,21204,"Bankruptcies (Plano)","Auto Finance"
NHH925,395214,9/13/2016,NULL,NULL,QDZ947,425253,27130,"HE  Command Ctr","Home Loans"
CNE520,475507,9/13/2016,NULL,NULL,VZE191,181638,21260,"LS QA And Support","Auto Finance"
KXE006,497585,9/13/2016,NULL,NULL,JQP660,299039,21218,"Credit Bureau Solutions","Auto Finance"
SIL943,532176,9/13/2016,NULL,NULL,RVJ915,257370,17836,"Customer Service HL","Home Loans"
LMA250,546448,9/13/2016,NULL,NULL,FEV654,418051,39035,"Plano Underwriters","Financial Services Rollup"
PDX503,478283,9/13/2016,NULL,NULL,HMA365,152432,17812,"HL Tech Svg & Default","Financial Services IT"
LKP471,547553,9/13/2016,NULL,NULL,SWF238,428035,27151,"Mortgage Direct M&A","Home Loans"
AFV696,506479,9/13/2016,NULL,NULL,JJS067,230212,21543,"DataLabs India","Financial Services Rollup"
WRY845,476867,9/13/2016,NULL,NULL,EML436,424083,27140,"Loan Originations Command Ctr","Home Loans"
LHQ859,160555,9/13/2016,NULL,NULL,OBV240,180971,21032,"COAF M&A","Auto Finance"
JOK953,508085,9/13/2016,NULL,NULL,QAM351,345948,21543,"DataLabs India","Financial Services Rollup"
JUP031,433377,9/13/2016,NULL,NULL,EXA737,300317,21045,"FS Chief of Staff Team","Financial Services Rollup"
SUV913,166587,9/13/2016,NULL,NULL,SZM492,200851,21250,"LM Admin","Auto Finance"
GQV759,469042,9/13/2016,NULL,NULL,XVF784,5189,39058,"Team 36 Plano","Financial Services Rollup"
JOZ484,226473,9/13/2016,NULL,NULL,EWL870,238001,21261,"Manual Collections Tulsa 2","Auto Finance"
FTZ703,546279,9/13/2016,NULL,NULL,UEG209,311363,21242,"Repo (Tulsa)","Auto Finance"
SIH406,460000,9/13/2016,NULL,NULL,DOS699,184706,21403,"Titles & Total Loss","Auto Finance"
CAB721,402599,9/13/2016,NULL,NULL,FTH668,376823,21153,"Refi Call Center","Auto Finance"
LCR380,549507,9/13/2016,NULL,NULL,VMY282,198292,17836,"Customer Service HL","Home Loans"
TGS685,525235,9/13/2016,NULL,NULL,KFG858,234191,21245,"Customer Care (Tulsa)","Auto Finance"
GBN101,353931,9/13/2016,NULL,NULL,ROS143,322613,27134,"HL M&A SOFI PO","Home Loans"
KIN860,443967,9/13/2016,NULL,NULL,PCB109,228127,21543,"DataLabs India","Financial Services Rollup"
PKX351,525214,9/13/2016,NULL,NULL,IXQ770,182092,21501,"Data Development","Financial Services IT"
WBN632,411314,9/13/2016,NULL,NULL,CGD952,115020,21218,"Credit Bureau Solutions","Auto Finance"
FQC822,438836,9/13/2016,NULL,NULL,ZSL408,373787,21269,"LM CAT","Financial Services Rollup"
HEB491,500993,9/13/2016,NULL,NULL,MRD053,390591,21543,"DataLabs India","Financial Services Rollup"
TAH985,331228,9/13/2016,NULL,NULL,QIE229,309871,21262,"Manual Collections Tulsa 3","Auto Finance"
MNO084,481257,9/13/2016,NULL,NULL,ZRE740,368512,27133,"Home Loans Analytics","Home Loans"
MBJ538,536658,9/13/2016,NULL,NULL,YHY546,432811,21543,"DataLabs India","Financial Services Rollup"
SBB931,474179,9/13/2016,NULL,NULL,BCB047,151461,27129,"Mtg Product Management","Financial Services Rollup"
SBA156,511522,9/13/2016,NULL,NULL,OYK729,182915,24010,"Consumer M&A","Auto Finance"
JQG477,478665,9/13/2016,NULL,NULL,KBZ599,213941,21045,"FS Chief of Staff Team","Financial Services Rollup"
OIM037,543791,9/13/2016,NULL,NULL,UJH210,181729,21044,"FS Customer Office","Financial Services Rollup"
TZI779,325433,9/13/2016,NULL,NULL,TBS456,317166,21414,"RBC - DC","Auto Finance"
TPV383,481893,9/13/2016,NULL,NULL,OBV240,180971,21032,"COAF M&A","Auto Finance"
HYN049,254394,9/13/2016,NULL,NULL,VKA592,331922,21104,"Business Risk Office","Auto Finance"
VGF534,171346,9/13/2016,NULL,NULL,CWM874,348433,39058,"Team 36 Plano","Financial Services Rollup"
GQE654,547864,9/13/2016,NULL,NULL,BYF116,428428,21045,"FS Chief of Staff Team","Financial Services Rollup"
OHA687,549151,9/13/2016,NULL,NULL,LWK888,190581,21232,"Repo (Plano)","Auto Finance"
