empEID,empID,snapDate,firstName,lastName,mgrEID,mgrID,costCenter,costCenterName,divisionName
NTH472,513055,9/13/2016,NULL,NULL,MRZ222,251989,21242,"Repo (Tulsa)","Auto Finance"
GOV482,502621,9/13/2016,NULL,NULL,EVH866,193641,21125,"Dealer Specialty Funding","Auto Finance"
RNY594,543862,9/13/2016,NULL,NULL,JLD299,254240,21262,"Manual Collections Tulsa 3","Auto Finance"
UWH114,518789,9/13/2016,NULL,NULL,VMY282,198292,17836,"Customer Service HL","Home Loans"
RYJ338,117493,9/13/2016,NULL,NULL,LWK888,331494,21232,"Repo (Plano)","Auto Finance"
NDW341,518947,9/13/2016,NULL,NULL,VMY282,198292,17836,"Customer Service HL","Home Loans"
YYL003,544699,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
SOH193,432249,9/13/2016,NULL,NULL,OEM204,185498,21262,"Manual Collections Tulsa 3","Auto Finance"
SRV751,359996,9/13/2016,NULL,NULL,UWD246,349997,17812,"HL Tech Svg & Default","Financial Services IT"
RMI001,518742,9/13/2016,NULL,NULL,VMY282,244484,17836,"Customer Service HL","Home Loans"
ZFX832,481242,9/13/2016,NULL,NULL,LWK888,190581,21238,"LM - Resolution and Retention","Financial Services Rollup"
WYI646,414887,9/13/2016,NULL,NULL,OEM204,239723,21262,"Manual Collections Tulsa 3","Auto Finance"
GUK802,549786,9/13/2016,NULL,NULL,OAD620,186183,21201,"Customer Care (Plano)","Auto Finance"
COR478,529149,9/13/2016,NULL,NULL,MRZ222,251989,21242,"Repo (Tulsa)","Auto Finance"
EDN353,545920,9/13/2016,NULL,NULL,HEU428,342219,28721,"HL Bankruptcy","Home Loans"
KFH461,550052,9/13/2016,NULL,NULL,OAD620,186183,21201,"Customer Care (Plano)","Auto Finance"
RSX856,458397,9/13/2016,NULL,NULL,LWK888,190581,21135,"Dealer Risk Management","Auto Finance"
YLT411,418778,9/13/2016,NULL,NULL,MRZ222,251989,21242,"Repo (Tulsa)","Auto Finance"
PEH819,549893,9/13/2016,NULL,NULL,OAD620,186183,21201,"Customer Care (Plano)","Auto Finance"
NRL350,544123,9/13/2016,NULL,NULL,MRZ222,251989,21242,"Repo (Tulsa)","Auto Finance"
JDB309,470304,9/13/2016,NULL,NULL,OEM204,239723,21262,"Manual Collections Tulsa 3","Auto Finance"
WIJ347,484783,9/13/2016,NULL,NULL,EVH866,193641,21102,"Dealer Funding","Auto Finance"
WIJ347,484783,9/13/2016,NULL,NULL,EVH866,193641,21102,"Dealer Funding","Auto Finance"
OHA687,549151,9/13/2016,NULL,NULL,LWK888,331494,21232,"Repo (Plano)","Auto Finance"
QYN645,548009,9/13/2016,NULL,NULL,MRZ222,370591,21242,"Repo (Tulsa)","Auto Finance"
SRF076,541285,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
IWK979,550596,9/13/2016,NULL,NULL,OAD620,218705,21201,"Customer Care (Plano)","Auto Finance"
RHU624,549365,9/13/2016,NULL,NULL,JLD299,254240,21262,"Manual Collections Tulsa 3","Auto Finance"
RHU624,549365,9/13/2016,NULL,NULL,JLD299,254240,21262,"Manual Collections Tulsa 3","Auto Finance"
LJR686,549640,9/13/2016,NULL,NULL,MRZ222,251989,21242,"Repo (Tulsa)","Auto Finance"
LMU678,550056,9/13/2016,NULL,NULL,UWD246,349997,17812,"HL Tech Svg & Default","Financial Services IT"
ZCP427,526603,9/13/2016,NULL,NULL,VMY282,198292,17836,"Customer Service HL","Home Loans"
YHK821,548912,9/13/2016,NULL,NULL,MRZ222,370591,21242,"Repo (Tulsa)","Auto Finance"
NIM005,550054,9/13/2016,NULL,NULL,UWD246,166130,17812,"HL Tech Svg & Default","Financial Services IT"
UZS782,541257,9/13/2016,NULL,NULL,JLD299,363720,21262,"Manual Collections Tulsa 3","Auto Finance"
BCA165,517983,9/13/2016,NULL,NULL,UWD246,166130,17812,"HL Tech Svg & Default","Financial Services IT"
NDW341,518947,9/13/2016,NULL,NULL,VMY282,244484,17836,"Customer Service HL","Home Loans"
REE410,519030,9/13/2016,NULL,NULL,VMY282,244484,17836,"Customer Service HL","Home Loans"
KIR434,548624,9/13/2016,NULL,NULL,JOZ484,226473,21245,"Customer Care (Tulsa)","Auto Finance"
KMA979,540657,9/13/2016,NULL,NULL,JLD299,254240,21262,"Manual Collections Tulsa 3","Auto Finance"
BDB883,249239,9/13/2016,NULL,NULL,VMY282,198292,17836,"Customer Service HL","Home Loans"
QKN290,541211,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
SKW322,505204,9/13/2016,NULL,NULL,VMY282,198292,27172,"Lien Release","Home Loans"
ARE576,517717,9/13/2016,NULL,NULL,UWD246,166130,17812,"HL Tech Svg & Default","Financial Services IT"
ZKD073,471240,9/13/2016,NULL,NULL,LRC526,433369,27173,"Servicing QA","Home Loans"
OGW700,549159,9/13/2016,NULL,NULL,UWD246,166130,17812,"HL Tech Svg & Default","Financial Services IT"
REE410,519030,9/13/2016,NULL,NULL,VMY282,198292,17836,"Customer Service HL","Home Loans"
LKQ158,543348,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
ZNA196,546676,9/13/2016,NULL,NULL,UEG209,311363,21242,"Repo (Tulsa)","Auto Finance"
IKH506,543628,9/13/2016,NULL,NULL,VMY282,198292,27572,ManageCollections,"Home Loans"
YMD651,546403,9/13/2016,NULL,NULL,JOZ484,226473,21262,"Manual Collections Tulsa 3","Auto Finance"
VUI321,544216,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
ZRI500,497191,9/13/2016,NULL,NULL,VMY282,198292,17836,"Customer Service HL","Home Loans"
YMZ284,549523,9/13/2016,NULL,NULL,MRZ222,370591,21242,"Repo (Tulsa)","Auto Finance"
ZRI500,497191,9/13/2016,NULL,NULL,VMY282,244484,17836,"Customer Service HL","Home Loans"
DTP862,508342,9/13/2016,NULL,NULL,VMY282,244484,28500,"CAT and Correspondence","Home Loans"
PSA601,523709,9/13/2016,NULL,NULL,JOZ484,226473,21262,"Manual Collections Tulsa 3","Auto Finance"
PSA601,523709,9/13/2016,NULL,NULL,JOZ484,226473,21262,"Manual Collections Tulsa 3","Auto Finance"
DNW651,546453,9/13/2016,NULL,NULL,JOZ484,226473,21262,"Manual Collections Tulsa 3","Auto Finance"
NOV587,529973,9/13/2016,NULL,NULL,MRZ222,251989,21242,"Repo (Tulsa)","Auto Finance"
NOV587,529973,9/13/2016,NULL,NULL,MRZ222,251989,21242,"Repo (Tulsa)","Auto Finance"
QWP726,538407,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
LBL797,532750,9/13/2016,NULL,NULL,MRZ222,370591,21242,"Repo (Tulsa)","Auto Finance"
YHK821,548912,9/13/2016,NULL,NULL,MRZ222,370591,21242,"Repo (Tulsa)","Auto Finance"
YVJ770,547888,9/13/2016,NULL,NULL,JOZ484,226473,21262,"Manual Collections Tulsa 3","Auto Finance"
FTZ703,546279,9/13/2016,NULL,NULL,UEG209,311363,21242,"Repo (Tulsa)","Auto Finance"
GGV749,544065,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
NKF800,544136,9/13/2016,NULL,NULL,MRZ222,370591,21242,"Repo (Tulsa)","Auto Finance"
MEE271,546451,9/13/2016,NULL,NULL,JOZ484,226473,21262,"Manual Collections Tulsa 3","Auto Finance"
QYN645,548009,9/13/2016,NULL,NULL,MRZ222,370591,21242,"Repo (Tulsa)","Auto Finance"
BLK125,545359,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
BLK125,545359,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
SEQ509,543778,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
ACK243,544304,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
YMZ284,549523,9/13/2016,NULL,NULL,MRZ222,370591,21242,"Repo (Tulsa)","Auto Finance"
ZNA196,546676,9/13/2016,NULL,NULL,UEG209,311363,21242,"Repo (Tulsa)","Auto Finance"
INL976,545172,9/13/2016,NULL,NULL,JOZ484,226473,21241,"Manual Collections Tulsa 1","Auto Finance"
ZON596,536867,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
ARP863,547056,9/13/2016,NULL,NULL,JOZ484,226473,21242,"Repo (Tulsa)","Auto Finance"
SDQ439,545611,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
FMC055,546646,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
FMC055,546646,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
HSW744,549079,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
BXS630,547866,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
BXS630,547866,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
AFL654,548909,9/13/2016,NULL,NULL,JOZ484,323486,21241,"Manual Collections Tulsa 1","Auto Finance"
GYN895,540439,9/13/2016,NULL,NULL,JOZ484,323486,21262,"Manual Collections Tulsa 3","Auto Finance"
AON778,545340,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
UBE810,543302,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
KFK439,546460,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
SDO791,486103,9/13/2016,NULL,NULL,JOZ484,226473,21262,"Manual Collections Tulsa 3","Auto Finance"
SDO791,486103,9/13/2016,NULL,NULL,JOZ484,226473,21262,"Manual Collections Tulsa 3","Auto Finance"
NPD497,535331,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
NPD497,535331,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
TXH132,547560,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
YVK071,540388,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
WIF904,547867,9/13/2016,NULL,NULL,JOZ484,323486,21262,"Manual Collections Tulsa 3","Auto Finance"
EBV063,547115,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
MZX968,521499,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
URE542,520518,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
YQR905,543630,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
JBL321,549592,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
PUN845,544222,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
PUN845,544222,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
FDR740,541332,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
BVQ602,546582,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
ZAF184,535255,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
GLH136,544070,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
QPN777,545602,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
CSN465,276318,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
ZAT056,548954,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
GGV749,544065,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
ZLP990,544217,9/13/2016,NULL,NULL,JOZ484,226473,21262,"Manual Collections Tulsa 3","Auto Finance"
CEJ153,548959,9/13/2016,NULL,NULL,JOZ484,226473,21262,"Manual Collections Tulsa 3","Auto Finance"
CEJ153,548959,9/13/2016,NULL,NULL,JOZ484,226473,21262,"Manual Collections Tulsa 3","Auto Finance"
EYU698,541265,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
MZH740,544064,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
IVH846,384110,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
XIX357,547625,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
VQE629,523246,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
QFM436,546059,9/13/2016,NULL,NULL,JOZ484,226473,21262,"Manual Collections Tulsa 3","Auto Finance"
QFM436,546059,9/13/2016,NULL,NULL,JOZ484,226473,21262,"Manual Collections Tulsa 3","Auto Finance"
FUD730,544855,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
RKS104,534827,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
DHM721,548623,9/13/2016,NULL,NULL,JOZ484,323486,21241,"Manual Collections Tulsa 1","Auto Finance"
DRT679,540636,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
RFK165,532531,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
YQR905,543630,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
BQE060,540669,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
JBL321,549592,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
TBA716,544194,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
TBA716,544194,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
KUW641,537139,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
FUA442,543179,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
AFL654,548909,9/13/2016,NULL,NULL,JOZ484,323486,21241,"Manual Collections Tulsa 1","Auto Finance"
ZAF184,535255,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
PXM210,544267,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
GLH136,544070,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
XXG611,544302,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
GYN895,540439,9/13/2016,NULL,NULL,JOZ484,323486,21262,"Manual Collections Tulsa 3","Auto Finance"
UES635,546069,9/13/2016,NULL,NULL,JOZ484,226473,21241,"Manual Collections Tulsa 1","Auto Finance"
UES635,546069,9/13/2016,NULL,NULL,JOZ484,226473,21241,"Manual Collections Tulsa 1","Auto Finance"
KAM682,546417,9/13/2016,NULL,NULL,JOZ484,323486,21262,"Manual Collections Tulsa 3","Auto Finance"
ACK243,544304,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
UBE810,543302,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
CSN465,276318,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
NGT456,547664,9/13/2016,NULL,NULL,JOZ484,323486,21262,"Manual Collections Tulsa 3","Auto Finance"
FYV316,543777,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
SYX723,522576,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
SYX723,522576,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
KFK439,546460,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
EYU698,541265,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
KIR434,548624,9/13/2016,NULL,NULL,JOZ484,323486,21245,"Customer Care (Tulsa)","Auto Finance"
TXH132,547560,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
WIF904,547867,9/13/2016,NULL,NULL,JOZ484,323486,21262,"Manual Collections Tulsa 3","Auto Finance"
ZON596,536867,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
EBV063,547115,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
MZX968,521499,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
FUD730,544855,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
MMB496,548949,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
DHM721,548623,9/13/2016,NULL,NULL,JOZ484,323486,21241,"Manual Collections Tulsa 1","Auto Finance"
YMD651,546403,9/13/2016,NULL,NULL,JOZ484,323486,21262,"Manual Collections Tulsa 3","Auto Finance"
IBR371,533068,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
AON778,545340,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
ZAT056,548954,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
RDW668,548273,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
XXG611,544302,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
XIX357,547625,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
VQE629,523246,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
NGT456,547664,9/13/2016,NULL,NULL,JOZ484,323486,21262,"Manual Collections Tulsa 3","Auto Finance"
IRT993,547622,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
FDR740,541332,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
YMD651,546403,9/13/2016,NULL,NULL,JOZ484,323486,21262,"Manual Collections Tulsa 3","Auto Finance"
PXM210,544267,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
IVH846,384110,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
KAM682,546417,9/13/2016,NULL,NULL,JOZ484,323486,21262,"Manual Collections Tulsa 3","Auto Finance"
FYV316,543777,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
RKS104,534827,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
DRT679,540636,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
KIR434,548624,9/13/2016,NULL,NULL,JOZ484,323486,21245,"Customer Care (Tulsa)","Auto Finance"
XIX357,547625,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
GBN101,353931,9/13/2016,NULL,NULL,ROS143,226919,27134,"HL M&A SOFI PO","Home Loans"
FMF369,544236,9/13/2016,NULL,NULL,XRJ946,345149,21502,"COAF Tech S&O","Financial Services IT"
NTK448,495572,9/13/2016,NULL,NULL,CGD952,231172,21218,"Credit Bureau Solutions","Auto Finance"
HEB491,500993,9/13/2016,NULL,NULL,MRD053,283000,21543,"DataLabs India","Financial Services Rollup"
TXE775,524644,9/13/2016,NULL,NULL,EXT403,178473,21204,"Bankruptcies (Plano)","Auto Finance"
MNO084,481257,9/13/2016,NULL,NULL,ZRE740,287917,27133,"Home Loans Analytics","Home Loans"
PWI069,449256,9/13/2016,NULL,NULL,QDZ947,425253,27140,"Loan Originations Command Ctr","Home Loans"
SRF076,541285,9/13/2016,NULL,NULL,JOZ484,323486,21261,"Manual Collections Tulsa 2","Auto Finance"
MBJ538,536658,9/13/2016,NULL,NULL,YHY546,397947,21543,"DataLabs India","Financial Services Rollup"
KXE006,497585,9/13/2016,NULL,NULL,JQP660,216282,21218,"Credit Bureau Solutions","Auto Finance"
RSY931,282985,9/13/2016,NULL,NULL,XOV518,320034,21409,"RBC - Melville","Auto Finance"
YMD038,516767,9/13/2016,NULL,NULL,ZHB101,350429,21105,"Auto Nav Call Center","Auto Finance"
JZV532,523783,9/13/2016,NULL,NULL,EYV201,371893,27151,"Mortgage Direct M&A","Home Loans"
GBS514,534471,9/13/2016,NULL,NULL,FEV654,426739,39061,"Team 16 Plano","Financial Services Rollup"
WPV067,547117,9/13/2016,NULL,NULL,PPZ620,543242,21245,"Customer Care (Tulsa)","Auto Finance"
DCD752,472078,9/13/2016,NULL,NULL,HMA365,251729,17812,"HL Tech Svg & Default","Financial Services IT"
ZQU619,355870,9/13/2016,NULL,NULL,BCB047,151461,27151,"Mortgage Direct M&A","Home Loans"
SBA156,511522,9/13/2016,NULL,NULL,OYK729,179733,24010,"Consumer M&A","Auto Finance"
XUG294,104918,9/13/2016,NULL,NULL,KBZ599,294471,21205,"Vehicle Remarketing (Plano)","Auto Finance"
TZI779,325433,9/13/2016,NULL,NULL,TBS456,223531,21414,"RBC - DC","Auto Finance"
LHQ859,160555,9/13/2016,NULL,NULL,OBV240,209845,21032,"COAF M&A","Auto Finance"
FQD818,481613,9/13/2016,NULL,NULL,OGX444,203420,21409,"RBC - Melville","Auto Finance"
MHD084,517939,9/13/2016,NULL,NULL,LWK888,190581,21238,"LM - Resolution and Retention","Financial Services Rollup"
MBN290,511609,9/13/2016,NULL,NULL,TBY532,366068,21236,"Dealer Recovery","Auto Finance"
YMZ284,549523,9/13/2016,NULL,NULL,MRZ222,251989,21242,"Repo (Tulsa)","Auto Finance"
FGX502,440949,9/13/2016,NULL,NULL,NIL488,129399,27133,"Home Loans Analytics","Home Loans"
CKT562,249247,9/13/2016,NULL,NULL,GPI839,169569,21042,"FS Business Risk Office","Financial Services Rollup"
GKK327,470681,9/13/2016,NULL,NULL,EVH866,266736,21102,"Dealer Funding","Auto Finance"
LYZ023,490277,9/13/2016,NULL,NULL,GHS598,268009,21413,"RBC - Remote","Auto Finance"
PDY708,533534,9/13/2016,NULL,NULL,PJU626,361532,21045,"FS Chief of Staff Team","Financial Services Rollup"
VLQ875,394875,9/13/2016,NULL,NULL,LMA057,387494,21262,"Manual Collections Tulsa 3","Auto Finance"
LXS343,338002,9/13/2016,NULL,NULL,NQW821,271021,27130,"HE  Command Ctr","Home Loans"
RQC237,432765,9/13/2016,NULL,NULL,ROS143,226919,27135,"Home Loans Cross Vertical Team","Home Loans"
SZK918,467843,9/13/2016,NULL,NULL,XRJ946,345149,21502,"COAF Tech S&O","Financial Services IT"
KOT331,380951,9/13/2016,NULL,NULL,RRW588,196092,21238,"LM - Resolution and Retention","Financial Services Rollup"
KSL740,506940,9/13/2016,NULL,NULL,IXQ770,182092,21502,"COAF Tech S&O","Financial Services IT"
NTK448,495572,9/13/2016,NULL,NULL,CGD952,115020,21218,"Credit Bureau Solutions","Auto Finance"
YQR905,543630,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
FMV455,485453,9/13/2016,NULL,NULL,PCH338,181676,21542,"FS Garage Non-TECH","Financial Services Rollup"
ECH716,524374,9/13/2016,NULL,NULL,JQP660,216282,21218,"Credit Bureau Solutions","Auto Finance"
ECH716,524374,9/13/2016,NULL,NULL,JQP660,216282,21218,"Credit Bureau Solutions","Auto Finance"
YQB074,258744,9/13/2016,NULL,NULL,XOV518,320034,21409,"RBC - Melville","Auto Finance"
LYY242,536640,9/13/2016,NULL,NULL,ZHB101,370874,21105,"Auto Nav Call Center","Auto Finance"
LGX784,530634,9/13/2016,NULL,NULL,EYV201,371893,27151,"Mortgage Direct M&A","Home Loans"
ITH572,431474,9/13/2016,NULL,NULL,FEV654,426739,39035,"Plano Underwriters","Financial Services Rollup"
IAT133,256790,9/13/2016,NULL,NULL,JRU292,181166,27154,"Mortgage BRO Cross Function","Home Loans"
WWD923,546585,9/13/2016,NULL,NULL,MUR046,316141,21408,"RBC - Chicago","Auto Finance"
TFX065,312753,9/13/2016,NULL,NULL,SSE711,255177,21260,"LS QA And Support","Auto Finance"
NQV383,348219,9/13/2016,NULL,NULL,MBS868,272969,27129,"Mtg Product Management","Financial Services Rollup"
QOV573,472703,9/13/2016,NULL,NULL,EML436,422495,27140,"Loan Originations Command Ctr","Home Loans"
TPV383,481893,9/13/2016,NULL,NULL,OBV240,209845,21032,"COAF M&A","Auto Finance"
OOB387,367029,9/13/2016,NULL,NULL,VRC729,170322,21270,"COAF Records Management","Auto Finance"
JUP031,433377,9/13/2016,NULL,NULL,EXA737,222136,21045,"FS Chief of Staff Team","Financial Services Rollup"
MHD084,517939,9/13/2016,NULL,NULL,LWK888,331494,21238,"LM - Resolution and Retention","Financial Services Rollup"
SUV913,166587,9/13/2016,NULL,NULL,SZM492,180850,21250,"LM Admin","Auto Finance"
LMA057,387494,9/13/2016,NULL,NULL,EWL870,239342,21262,"Manual Collections Tulsa 3","Auto Finance"
QYN645,548009,9/13/2016,NULL,NULL,MRZ222,251989,21242,"Repo (Tulsa)","Auto Finance"
FGX502,440949,9/13/2016,NULL,NULL,NIL488,129399,27133,"Home Loans Analytics","Home Loans"
CKT562,249247,9/13/2016,NULL,NULL,GPI839,188589,21042,"FS Business Risk Office","Financial Services Rollup"
ANG795,544294,9/13/2016,NULL,NULL,HEU428,342219,28721,"HL Bankruptcy","Home Loans"
DLU421,544988,9/13/2016,NULL,NULL,LAL207,187002,21267,"COAF Mid Inbound","Financial Services Rollup"
OSR377,518853,9/13/2016,NULL,NULL,JLD299,363720,21262,"Manual Collections Tulsa 3","Auto Finance"
DPD144,516030,9/13/2016,NULL,NULL,DOS699,184706,21403,"Titles & Total Loss","Auto Finance"
PDY708,533534,9/13/2016,NULL,NULL,PJU626,263180,21045,"FS Chief of Staff Team","Financial Services Rollup"
MRH257,481746,9/13/2016,NULL,NULL,NAC662,361285,21245,"Customer Care (Tulsa)","Auto Finance"
DLK590,474638,9/13/2016,NULL,NULL,BIS560,219333,28500,"CAT and Correspondence","Home Loans"
IXZ325,519134,9/13/2016,NULL,NULL,IQQ271,214339,21260,"LS QA And Support","Auto Finance"
